Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AGE	Peptides FPS	Razor + unique peptides AGE	Razor + unique peptides FPS	Unique peptides AGE	Unique peptides FPS	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Identification type AGE	Identification type FPS	Reporter intensity corrected 1 AGE	Reporter intensity corrected 2 AGE	Reporter intensity corrected 3 AGE	Reporter intensity corrected 4 AGE	Reporter intensity corrected 5 AGE	Reporter intensity corrected 6 AGE	Reporter intensity corrected 7 AGE	Reporter intensity corrected 8 AGE	Reporter intensity corrected 9 AGE	Reporter intensity corrected 10 AGE	Reporter intensity corrected 11 AGE	Reporter intensity corrected 1 FPS	Reporter intensity corrected 2 FPS	Reporter intensity corrected 3 FPS	Reporter intensity corrected 4 FPS	Reporter intensity corrected 5 FPS	Reporter intensity corrected 6 FPS	Reporter intensity corrected 7 FPS	Reporter intensity corrected 8 FPS	Reporter intensity corrected 9 FPS	Reporter intensity corrected 10 FPS	Reporter intensity corrected 11 FPS	Reporter intensity 1 AGE	Reporter intensity 2 AGE	Reporter intensity 3 AGE	Reporter intensity 4 AGE	Reporter intensity 5 AGE	Reporter intensity 6 AGE	Reporter intensity 7 AGE	Reporter intensity 8 AGE	Reporter intensity 9 AGE	Reporter intensity 10 AGE	Reporter intensity 11 AGE	Reporter intensity 1 FPS	Reporter intensity 2 FPS	Reporter intensity 3 FPS	Reporter intensity 4 FPS	Reporter intensity 5 FPS	Reporter intensity 6 FPS	Reporter intensity 7 FPS	Reporter intensity 8 FPS	Reporter intensity 9 FPS	Reporter intensity 10 FPS	Reporter intensity 11 FPS	Reporter intensity count 1 AGE	Reporter intensity count 2 AGE	Reporter intensity count 3 AGE	Reporter intensity count 4 AGE	Reporter intensity count 5 AGE	Reporter intensity count 6 AGE	Reporter intensity count 7 AGE	Reporter intensity count 8 AGE	Reporter intensity count 9 AGE	Reporter intensity count 10 AGE	Reporter intensity count 11 AGE	Reporter intensity count 1 FPS	Reporter intensity count 2 FPS	Reporter intensity count 3 FPS	Reporter intensity count 4 FPS	Reporter intensity count 5 FPS	Reporter intensity count 6 FPS	Reporter intensity count 7 FPS	Reporter intensity count 8 FPS	Reporter intensity count 9 FPS	Reporter intensity count 10 FPS	Reporter intensity count 11 FPS	Sequence coverage AGE [%]	Sequence coverage FPS [%]	Intensity	Intensity AGE	Intensity FPS	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Q5XI97	Q5XI97	11	11	11	Alanyl-tRNA editing protein Aarsd1	Aarsd1	sp|Q5XI97|AASD1_RAT Alanyl-tRNA editing protein Aarsd1 OS=Rattus norvegicus OX=10116 GN=Aarsd1 PE=1 SV=1	1	11	11	11	9	10	9	10	9	10	42	42	42	45.093	412	412	4.83	6		3	5	6	6	7	3	0	230.21	By MS/MS	By MS/MS	19612000	22735000	149510	376740	21556000	18986000	23161000	24215000	23174000	22441000	24530000	22869000	23346000	20893	22216000	303510	21513000	20991000	22283000	22329000	26595000	22370000	18262000	21131000	1791300	2241800	20719000	18312000	23410000	24304000	23623000	21991000	23621000	21293000	21780000	1565000	22733000	806820	21976000	20252000	22746000	22659000	25796000	21578000	3	3	2	3	3	3	3	3	3	3	3	4	4	1	4	3	4	4	4	4	4	4	34.2	39.6	11025000000	5850700000	5174000000	30				1478	1441;1734;2604;3584;3623;4270;4615;9897;12662;12874;13995	True;True;True;True;True;True;True;True;True;True;True	1493;1792;2683;3696;3736;4398;4755;10250;13098;13315;14471	7677;7678;7679;7680;7681;7682;9328;9329;9330;13715;13716;13717;13718;19085;19086;19087;19088;19089;19090;19091;19248;22555;22556;22557;22558;24284;51768;51769;51770;65913;65914;65915;67169;67170;73538;73539	8124;8125;9866;14631;14632;14633;14634;20310;20311;20312;20313;20314;20315;20316;20492;20493;23955;23956;23957;25727;54221;54222;54223;54224;54225;69137;69138;70502;70503;77310	8124;9866;14631;20311;20493;23957;25727;54221;69137;70503;77310			-1
Q5XIA1	Q5XIA1	3	3	3	Nicalin	Ncln	sp|Q5XIA1|NCLN_RAT Nicalin OS=Rattus norvegicus OX=10116 GN=Ncln PE=2 SV=1	1	3	3	3	3	3	3	3	3	3	6	6	6	62.992	563	563	2.8	2	1	4	3					0	15.058	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	7708800	8177400	200280	8029300	24453	7147800	6926200	7077600	7530600	10538000	7777800	0	0	0	0	0	0	0	0	0	0	0	7179100	7629800	718140	8188500	209090	7334500	6683400	7303200	7643400	10149000	7495300	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	6	6	1962900000	1125100000	837810000	7				1479	1866;5868;12680	True;True;True	1928;6052;13117	10031;10032;31446;31447;31448;31449;31450;31451;66018;66019	10659;10660;33248;33249;33250;33251;69257	10660;33248;69257			-1
Q5XIA2;Q5XIA2-2	Q5XIA2;Q5XIA2-2	2;1	2;1	2;1	SUZ domain-containing protein 1	Szrd1	sp|Q5XIA2|SZRD1_RAT SUZ domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Szrd1 PE=1 SV=2;sp|Q5XIA2-2|SZRD1_RAT Isoform 2 of SUZ domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Szrd1	2	2	2	2	2	0	2	0	2	0	26.3	26.3	26.3	16.998	152	152;133	5.5				1			1		0	32.777	By MS/MS		5857100	6324000	0	0	6587100	6255100	5634700	5686100	7310400	6613800	6664500	0	0	0	0	0	0	0	0	0	0	0	5453100	5877300	434080	523180	6288000	5972500	5817200	5837800	7340800	6421200	6449000	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	26.3	0	521290000	521290000	0	4				1480	5791;13652	True;True	5967;14123	31082;71914	32889;32890;75577;75578	32890;75577			-1;-1
Q5XIB1	Q5XIB1	1	1	1	Protein TSSC4	Tssc4	sp|Q5XIB1|TSSC4_RAT Protein TSSC4 OS=Rattus norvegicus OX=10116 GN=Tssc4 PE=2 SV=1	1	1	1	1	0	1	0	1	0	1	3.8	3.8	3.8	33.939	317	317	3			1						0	2.6344		By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711520	0	355010	441490	502650	471850	508700	416640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670280	0	386970	425670	503790	476740	496580	403620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	3.8	84941000	0	84941000	1				1481	10271	True	10636	53401	55939	55939			-1
Q5XIB2	Q5XIB2	1	1	1	Peptidyl-prolyl cis-trans isomerase CWC27 homolog	Cwc27	sp|Q5XIB2|CWC27_RAT Spliceosome-associated protein CWC27 homolog OS=Rattus norvegicus OX=10116 GN=Cwc27 PE=1 SV=1	1	1	1	1	0	1	0	1	0	1	3.2	3.2	3.2	53.309	468	468	6						1			0	2.5994		By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	142470000	0	142470000	1				1482	10469	True	10839	54234	56790	56790			-1
Q5XIB4	Q5XIB4	3	3	3	Ufm1-specific protease 2	Ufsp2	sp|Q5XIB4|UFSP2_RAT Ufm1-specific protease 2 OS=Rattus norvegicus OX=10116 GN=Ufsp2 PE=2 SV=1	1	3	3	3	3	2	3	2	3	2	11.5	11.5	11.5	52.306	461	461	3	2	2	3	2			1		0	15.462	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5	7.2	1574800000	578770000	996040000	9				1483	2474;4635;11581	True;True;True	2551;4775;11982	13003;24376;24377;24378;59889;59890;59891;59892;59893;59894	13859;25823;25824;25825;62698;62699;62700;62701;62702	13859;25824;62702			-1
Q5XIC0	Q5XIC0	4	4	4	Enoyl-CoA delta isomerase 2, mitochondrial	Eci2	sp|Q5XIC0|ECI2_RAT Enoyl-CoA delta isomerase 2 OS=Rattus norvegicus OX=10116 GN=Eci2 PE=1 SV=1	1	4	4	4	3	4	3	4	3	4	14.1	14.1	14.1	43.021	391	391	3.64	2	3	3				1	2	0	18.636	By MS/MS	By MS/MS	5264100	6056800	80562	0	5300700	5042300	5642500	5485600	5452200	5235300	5255200	7109700	7338200	71730	7758400	30009	8155300	7974800	8397600	8685100	11655000	9513900	4902000	5628700	512020	428620	5096000	4830800	5699700	5547500	5548000	5123400	5075600	6620400	6848900	557140	7891100	232850	8289000	7695800	8623400	8834000	11249000	9152000	1	1	1	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	8.7	14.1	1897800000	889890000	1007900000	9				1484	7121;9184;9689;14073	True;True;True;True	7338;9523;10042;14552	38028;38029;38030;48649;48650;48651;48652;50826;73985;73986;73987	40055;50977;50978;50979;50980;53246;53247;77785;77786	40055;50978;53246;77786			-1
Q5XIC1	Q5XIC1	4	4	4	Mannose-1-phosphate guanyltransferase alpha	Gmppa	sp|Q5XIC1|GMPPA_RAT Mannose-1-phosphate guanyltransferase alpha OS=Rattus norvegicus OX=10116 GN=Gmppa PE=2 SV=1	1	4	4	4	4	3	4	3	4	3	16.9	16.9	16.9	46.191	420	420	3.7		3	4			2	1		0	23.602	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9	13.6	1490300000	841170000	649170000	7				1485	12489;12921;13088;14534	True;True;True;True	12921;13363;13534;15022	65007;65008;65009;67611;67612;67613;67614;68526;76420;76421	68131;68132;71012;71013;71968;80314;80315	68131;71012;71968;80314			-1
Q5XIC4	Q5XIC4	2	2	2	Maspardin	Spg21	sp|Q5XIC4|SPG21_RAT Maspardin OS=Rattus norvegicus OX=10116 GN=Spg21 PE=2 SV=1	1	2	2	2	2	1	2	1	2	1	10.3	10.3	10.3	29.576	261	261	4			2	2		1			0	23.721	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3	6.9	601270000	331760000	269510000	7				1486	7255;14211	True;True	7477;14694	38652;74706;74707;74708;74709	40692;78534;78535;78536;78537;78538;78539	40692;78539			-1
Q5XID0	Q5XID0	1	1	1	Protein YIPF5	Yipf5	sp|Q5XID0|YIPF5_RAT Protein YIPF5 OS=Rattus norvegicus OX=10116 GN=Yipf5 PE=2 SV=1	1	1	1	1	1	1	1	1	1	1	4.7	4.7	4.7	27.903	257	257	4				2					0	31.089	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	4.7	207780000	207780000	0	2				1487	9873	True	10226	51667;51668	54093;54094	54094			-1
Q5XID1	Q5XID1	4	4	4	Anamorsin	Ciapin1	sp|Q5XID1|CPIN1_RAT Anamorsin OS=Rattus norvegicus OX=10116 GN=Ciapin1 PE=1 SV=1	1	4	4	4	4	3	4	3	4	3	20.7	20.7	20.7	33.041	309	309	4	3	3	3				2	3	0	37.309	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.7	12.6	5577700000	2778600000	2799100000	14				1488	6435;8355;11376;13714	True;True;True;True	6638;8672;11774;14185	34386;34387;34388;34389;34390;44178;44179;44180;44181;58882;58883;58884;58885;72216	36358;36359;36360;36361;36362;46376;46377;46378;46379;61665;61666;61667;61668;75910	36361;46378;61665;75910			-1
Q5XIE0	Q5XIE0	6	6	6	Acidic leucine-rich nuclear phosphoprotein 32 family member E	Anp32e	sp|Q5XIE0|AN32E_RAT Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Rattus norvegicus OX=10116 GN=Anp32e PE=2 SV=1	1	6	6	6	5	6	5	6	5	6	34.9	34.9	34.9	29.418	258	258	3.67	5	3	2	2	3	5	1		0	323.31	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.8	34.9	9279500000	6236100000	3043400000	21				1489	1392;1811;2287;2288;6886;10931	True;True;True;True;True;True	1444;1869;2361;2362;7098;11321	7519;9706;9707;9708;9709;9710;12136;12137;12138;12139;12140;12141;36776;36777;56660;56661;56662;56663;56664;56665;56666	7956;10274;10275;10276;10277;10278;12942;12943;12944;12945;12946;12947;12948;12949;38806;38807;59315;59316;59317;59318;59319	7956;10275;12942;12948;38806;59317			-1
Q5XIE8	Q5XIE8	1	1	1	Integral membrane protein 2B;BRI2, membrane form;BRI2 intracellular domain;BRI2C, soluble form;Bri23 peptide	Itm2b	sp|Q5XIE8|ITM2B_RAT Integral membrane protein 2B OS=Rattus norvegicus OX=10116 GN=Itm2b PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	4.9	4.9	4.9	30.314	266	266	8								2	0	6.0697	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	4.9	142420000	81428000	60988000	2				1490	5508	True	5678	29405;29406	31112;31113	31112			-1
Q5XIF3	Q5XIF3	1	1	1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	Ndufs4	sp|Q5XIF3|NDUS4_RAT NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ndufs4 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	8.6	8.6	8.6	19.74	175	175	5					2				0	3.3678	By MS/MS	By matching	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6	8.6	713330000	273720000	439610000	1				1491	6783	True	6993	36258;36259	38313	38313			-1
Q5XIF5	Q5XIF5	2	2	2	Sphingolipid delta(4)-desaturase DES1	Degs1	sp|Q5XIF5|DEGS1_RAT Sphingolipid delta(4)-desaturase DES1 OS=Rattus norvegicus OX=10116 GN=Degs1 PE=2 SV=1	1	2	2	2	2	2	2	2	2	2	5.6	5.6	5.6	38.055	323	323	3.67		2		2	2				0	7.9466	By MS/MS	By MS/MS	2397200	2349600	55352	38974	2481700	2463200	2222300	2285600	2506500	2688400	2761500	0	0	0	0	0	0	0	0	0	0	0	2232500	2183800	251520	239210	2376400	2355800	2276600	2344900	2546600	2609000	2656000	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	5.6	5.6	1419200000	755000000	664180000	5				1492	2265;13797	True;True	2338;14270	12022;12023;72547;72548;72549;72550	12827;12828;76257;76258;76259	12828;76257			-1
Q5XIF6	Q5XIF6	19	3	3	Tubulin alpha-4A chain	Tuba4a	sp|Q5XIF6|TBA4A_RAT Tubulin alpha-4A chain OS=Rattus norvegicus OX=10116 GN=Tuba4a PE=1 SV=1	1	19	3	3	19	19	3	3	3	3	53.3	10	10	49.924	448	448	5	1	3	3	6	5	4	6	3	0	125.86	By MS/MS	By MS/MS	20880000	21087000	217780	26331	25086000	23430000	23259000	26736000	24493000	27166000	28661000	22368000	22326000	126110	20929000	148600	21108000	24386000	23653000	22935000	28721000	22215000	19443000	19597000	1988100	1646500	24020000	22485000	23727000	27029000	25012000	26514000	27519000	20828000	20828000	1635900	21453000	697420	21549000	23422000	24072000	23370000	27842000	21452000	5	5	4	2	5	5	5	5	5	5	5	5	5	3	5	3	5	5	5	5	5	5	53.3	53.3	21856000000	10826000000	11030000000	36				1493	446;1141;1176;1251;2027;2166;2202;2991;2998;4072;5656;7791;8632;9314;9617;10190;10883;12098;13253	False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False	458;459;1181;1182;1220;1296;1297;2093;2236;2272;3081;3089;4198;5828;8024;8952;9658;9968;10551;11273;12521;13702	2436;2437;2438;2439;2440;2441;2442;2443;2444;2445;2446;2447;6067;6068;6069;6070;6071;6072;6073;6074;6075;6076;6077;6078;6079;6080;6081;6082;6083;6084;6085;6086;6087;6088;6089;6090;6091;6092;6093;6094;6095;6096;6097;6098;6099;6100;6101;6292;6293;6294;6295;6296;6297;6298;6299;6300;6301;6302;6303;6702;6703;6704;6705;6706;6707;6708;6709;6710;6711;6712;6713;6714;6715;6716;6717;6718;6719;6720;6721;6722;6723;6724;6725;6726;6727;6728;6729;6730;6731;6732;10768;10769;10770;10771;10772;10773;10774;10775;10776;11534;11535;11536;11537;11694;11695;11696;11697;15636;15637;15638;15639;15640;15641;15642;15643;15644;15645;15646;15674;15675;15676;15677;15678;15679;15680;21548;21549;21550;21551;30183;30184;30185;30186;30187;30188;30189;30190;30191;30192;30193;30194;30195;30196;30197;30198;30199;30200;30201;30202;30203;30204;30205;30206;30207;30208;30209;30210;30211;30212;30213;30214;30215;30216;30217;30218;30219;30220;30221;30222;30223;30224;30225;30226;30227;30228;30229;30230;30231;30232;30233;30234;30235;30236;30237;30238;30239;30240;41186;41187;41188;41189;45633;45634;45635;45636;45637;45638;45639;45640;45641;45642;45643;45644;45645;45646;45647;45648;45649;45650;45651;45652;45653;49189;49190;50506;50507;50508;50509;50510;50511;50512;50513;50514;50515;50516;50517;50518;50519;50520;50521;50522;50523;50524;50525;50526;50527;50528;53047;53048;53049;53050;56415;56416;56417;56418;56419;56420;56421;56422;56423;56424;56425;56426;56427;62994;62995;62996;62997;62998;62999;63000;63001;63002;63003;69542;69543;69544;69545;69546;69547;69548;69549;69550;69551;69552;69553;69554;69555;69556;69557;69558;69559;69560;69561;69562;69563;69564;69565;69566	2671;2672;2673;2674;2675;2676;2677;2678;2679;2680;2681;2682;2683;2684;2685;2686;2687;6421;6422;6423;6424;6425;6426;6427;6428;6429;6430;6431;6432;6433;6434;6435;6436;6437;6438;6439;6440;6441;6442;6443;6444;6445;6446;6447;6448;6449;6450;6451;6452;6453;6454;6646;6647;6648;6649;6650;6651;6652;6653;6654;6655;6656;6657;7066;7067;7068;7069;7070;7071;7072;7073;7074;7075;7076;7077;7078;7079;7080;7081;7082;7083;7084;7085;7086;7087;7088;7089;7090;7091;7092;7093;7094;7095;7096;7097;7098;7099;7100;7101;7102;7103;7104;7105;7106;7107;7108;7109;7110;7111;7112;7113;7114;7115;7116;7117;11439;11440;11441;11442;11443;11444;11445;11446;11447;12320;12321;12322;12323;12482;12483;12484;12485;16628;16629;16630;16631;16632;16633;16634;16635;16636;16637;16638;16639;16668;16669;16670;16671;16672;16673;16674;16675;16676;22927;22928;31912;31913;31914;31915;31916;31917;31918;31919;31920;31921;31922;31923;31924;31925;31926;31927;31928;31929;31930;31931;31932;31933;31934;31935;31936;31937;31938;31939;31940;31941;31942;31943;31944;31945;31946;31947;31948;31949;31950;31951;31952;31953;31954;31955;31956;31957;31958;31959;31960;31961;31962;31963;31964;31965;31966;31967;31968;31969;31970;31971;31972;31973;31974;31975;31976;31977;31978;31979;31980;31981;31982;31983;31984;31985;31986;31987;31988;31989;31990;31991;31992;31993;31994;31995;31996;31997;43288;47852;47853;47854;47855;47856;47857;47858;47859;47860;47861;47862;47863;47864;47865;47866;47867;47868;47869;47870;47871;47872;47873;47874;51542;51543;52918;52919;52920;52921;52922;52923;52924;52925;52926;52927;52928;52929;52930;52931;52932;52933;52934;52935;52936;52937;52938;52939;52940;52941;52942;52943;52944;52945;52946;52947;52948;55582;55583;55584;59046;59047;59048;59049;59050;59051;59052;59053;59054;59055;59056;59057;59058;59059;66032;66033;66034;66035;66036;66037;66038;66039;66040;66041;66042;66043;66044;66045;66046;73026;73027;73028;73029;73030;73031;73032;73033;73034;73035;73036;73037;73038;73039;73040;73041;73042;73043;73044;73045;73046;73047;73048;73049;73050;73051;73052;73053;73054;73055;73056;73057;73058;73059;73060;73061;73062;73063;73064;73065	2686;6434;6649;7092;11445;12321;12482;16632;16668;22928;31933;43288;47861;51542;52947;55584;59049;66044;73059	418;419;420	302;377;413	-1
Q5XIG4	Q5XIG4	7	7	7	OCIA domain-containing protein 1	Ociad1	sp|Q5XIG4|OCAD1_RAT OCIA domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Ociad1 PE=1 SV=1	1	7	7	7	6	7	6	7	6	7	35.6	35.6	35.6	27.659	247	247	5		1	2	7	2	2	3	2	0	106.3	By MS/MS	By MS/MS	8240800	10172000	222750	45275	9486700	8655700	9984500	10259000	9384700	9962900	9247400	8154800	7961500	145040	8233400	29964	7201300	7127000	7948800	8301600	9994100	8138900	7674600	9453200	908260	854550	9122300	8320400	10083000	10341000	9568700	9742500	8924900	7593900	7429900	693970	8364800	203750	7416700	6893800	8105300	8388300	9676500	7856400	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	31.2	35.6	5425100000	2815900000	2609200000	24				1494	6353;6899;9206;11549;11579;11793;14293	True;True;True;True;True;True;True	6552;7111;9546;11949;11980;12205;14777	34007;34008;34009;34010;36832;36833;48721;48722;48723;48724;59748;59749;59750;59885;59886;59887;61060;75121;75122	35924;35925;35926;35927;35928;35929;38858;38859;51046;51047;51048;51049;62546;62547;62548;62549;62694;62695;62696;63938;78974;78975;78976;78977	35925;38859;51046;62548;62694;63938;78974			-1
Q5XIG5	Q5XIG5	1	1	1	G kinase-anchoring protein 1	Gkap1	sp|Q5XIG5|GKAP1_RAT G kinase-anchoring protein 1 OS=Rattus norvegicus OX=10116 GN=Gkap1 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	3.8	3.8	3.8	41.931	366	366	1.67	1	2							0	12.029	By MS/MS	By MS/MS	508640	575530	10522	0	608210	626740	590400	724420	630330	613650	642170	551620	617040	7256.7	669650	11461	815950	713610	735810	793340	1073300	784560	473670	534870	53370	46894	583370	601810	601040	728290	639930	603880	619110	513670	575960	44931	681620	29081	820410	689600	762270	803290	1034400	757110	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.8	3.8	240110000	138500000	101600000	2				1495	977	True	1011	5319;5320;5321	5671;5672	5672			-1
Q5XIG6	Q5XIG6	1	1	1	N-acetylgalactosamine kinase	Galk2	sp|Q5XIG6|GALK2_RAT N-acetylgalactosamine kinase OS=Rattus norvegicus OX=10116 GN=Galk2 PE=2 SV=1	1	1	1	1	1	1	1	1	1	1	3.3	3.3	3.3	50.197	458	458	6	1						1	2	0	7.9795	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	3.3	1131300000	758320000	373010000	3				1496	12468	True	12898	64882;64883;64884;64885	68001;68002;68003	68003			-1
Q5XIG8	Q5XIG8	10	10	10	Serine-threonine kinase receptor-associated protein	Strap	sp|Q5XIG8|STRAP_RAT Serine-threonine kinase receptor-associated protein OS=Rattus norvegicus OX=10116 GN=Strap PE=1 SV=1	1	10	10	10	9	10	9	10	9	10	45.7	45.7	45.7	38.456	350	350	3.82	8	11	9	9	11	11	1	2	0	323.31	By MS/MS	By MS/MS	10052000	6295200	70270	0	4573800	6310300	8327600	6473500	9085100	7430100	6428600	16470000	16057000	156340	14191000	91958	19490000	14155000	15154000	15713000	16182000	12932000	9359800	5850500	822140	527410	4484200	6042200	8274200	6602200	9115100	7217200	6283600	15336000	14976000	1281800	14688000	451180	19431000	13671000	15657000	15818000	15761000	12561000	1	1	1	0	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	37.1	45.7	28051000000	14436000000	13616000000	67				1497	1444;3409;5599;6189;8037;9510;10667;12681;14018;14300	True;True;True;True;True;True;True;True;True;True	1496;3518;5771;6386;8281;9859;11047;13118;14495;14496;14784	7686;7687;7688;7689;7690;7691;7692;18025;18026;18027;18028;18029;18030;18031;18032;18033;18034;29909;33229;33230;33231;33232;33233;33234;33235;33236;33237;42401;42402;50056;50057;50058;50059;55334;55335;66020;66021;66022;66023;66024;66025;66026;66027;66028;66029;66030;66031;73665;73666;73667;73668;73669;73670;73671;75159;75160;75161;75162;75163;75164;75165;75166	8129;8130;8131;8132;19147;19148;19149;19150;19151;19152;19153;19154;19155;31635;31636;31637;35095;35096;35097;35098;35099;35100;35101;35102;44550;44551;52458;52459;52460;52461;57930;57931;69258;69259;69260;69261;69262;69263;69264;69265;69266;69267;69268;69269;69270;69271;69272;69273;77449;77450;77451;77452;77453;77454;77455;77456;77457;77458;79018;79019;79020;79021;79022;79023;79024;79025;79026	8129;19153;31636;35096;44550;52461;57930;69262;77455;79024	421	95	-1
Q5XIH7	Q5XIH7	5	5	5	Prohibitin-2	Phb2	sp|Q5XIH7|PHB2_RAT Prohibitin-2 OS=Rattus norvegicus OX=10116 GN=Phb2 PE=1 SV=1	1	5	5	5	5	4	5	4	5	4	21.4	21.4	21.4	33.312	299	299	2.83	5	7	2			2	2		0	56.151	By MS/MS	By MS/MS	6729800	6141600	27600	32092	5061500	6000400	6191600	5920800	7067700	6190800	6179600	7236100	7973200	327280	7728800	0	6686700	5563800	6941600	7087000	9238000	6719900	6266400	5707900	560310	553510	4883200	5742900	6248500	6031900	7120300	6035100	5988700	6739900	7438900	803580	7886400	0	6882000	5399800	7113600	7130200	8927700	6493800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	21.4	18.7	9523100000	4805100000	4718000000	19				1498	5607;6147;7074;13497;13526	True;True;True;True;True	5779;6344;7288;13957;13987;13988	29967;29968;29969;29970;32980;32981;32982;32983;32984;37788;70986;70987;70988;71144;71145;71146;71147;71148	31694;31695;31696;31697;34820;34821;34822;34823;34824;39806;74566;74567;74568;74732;74733;74734;74735;74736;74737	31695;34822;39806;74567;74735	422	120	-1
